model,nsims,tpb,mem,cupsodatime,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
earm,10,16,0,5.07681512833,5.11877202988,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,100,16,0,5.39619994164,5.6353290081,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,1000,16,0,6.45123696327,8.18789410591,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,10000,16,0,36.9870378971,53.8725159168,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,10,16,1,4.07770490646,4.12217402458,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,100,16,1,4.30461907387,4.53394699097,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,1000,16,1,5.27210712433,6.97333216667,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,10000,16,1,30.5027868748,47.0833909512,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,10,16,2,3.52938508987,3.57454681396,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,100,16,2,3.70560288429,3.98029112816,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,1000,16,2,4.6755759716,6.4057199955,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
earm,10000,16,2,28.295789957,45.2283248901,1e-06,1e-06,100,20000,20000.0,1,1.661e-19,gtx980-diablo
ras,10,16,0,4.63738489151,4.70000696182,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,100,16,0,4.86075305939,5.07550597191,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,1000,16,0,6.39671802521,8.21206092834,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,10000,16,0,38.3030190468,56.1896719933,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,100000,16,0,372.831783056,552.146799803,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,10,16,1,3.8465089798,3.90631198883,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,100,16,1,4.0127351284,4.23133397102,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,1000,16,1,5.53757619858,7.36109495163,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,10000,16,1,33.7793929577,51.6993398666,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,100000,16,1,328.715204,509.835118055,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,10,16,2,3.39902687073,3.45933413506,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,100,16,2,3.560546875,3.77914810181,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,1000,16,2,5.04221701622,6.89302778244,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,10000,16,2,32.4951550961,50.5506830215,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
ras,100000,16,2,314.790583134,500.490301847,1e-06,1e-06,100,20000,1500.0,1,1e-19,gtx980-diablo
tyson,10,16,0,0.297664880753,0.317492008209,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,100,16,0,0.299711942673,0.428675174713,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,1000,16,0,0.531623125076,1.17515993118,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,10000,16,0,3.27216410637,9.37800788879,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,100000,16,0,36.7622308731,98.7119948864,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,10,16,1,0.285042047501,0.303987026215,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,100,16,1,0.290637969971,0.413839101791,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,1000,16,1,0.525161027908,1.13881897926,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,10000,16,1,3.30725479126,9.07413196564,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,100000,16,1,29.8196108341,94.9499628544,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,10,16,2,0.278455972672,0.300401926041,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,100,16,2,0.282575130463,0.405982971191,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,1000,16,2,0.518464803696,1.14076304436,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,10000,16,2,3.11741399765,8.89118599892,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo
tyson,100000,16,2,29.6376011372,94.2338340282,1e-06,1e-06,100,20000,100.0,1,1e-19,gtx980-diablo